test_id,layer,requirements,result,classification,duration_ms,name,details
P45-MAN-001,manifest,TST-001|TST-009,PASS,PASS_EXACT,0.4000000059604645,Every declared test uses a known requirement identifier,"{""knownRequirements"":77,""checkedTests"":601}"
MF-ID-001,manifest,TST-001|TST-006,PASS,PASS_EXACT,0.09999999403953552,Test IDs are unique,{}
MF-FEAT-001,manifest,TST-001,PASS,PASS_EXACT,0.29999999701976776,Every feature maps requirements and tests,{}
MF-MOD-001,manifest,TST-006,PASS,PASS_EXACT,47.80000001192093,Feature module paths exist,"{""declaredModules"":111,""existingModules"":111,""missingModules"":[]}"
MF-PROD-001,manifest,TST-004,PASS,PASS_EXACT,56.6000000089407,Production bundle excludes test API,"{""artifact"":""browser_files/dist/bundle.prod.html"",""sizeBytes"":874898,""checks"":{""test_api_absent"":true,""test_registration_absent"":true,""test_controls_absent"":true,""test_fixtures_absent"":true,""mock_transport_absent"":true,""contract_fixture_absent"":true,""integration_scenario_absent"":true,""visual_baseline_absent"":true,""p45_closure_absent"":true},""forbiddenMatches"":[]}"
MF-PROD-002,manifest,TST-004,PASS,PASS_EXACT,53.400000005960464,Production bundle excludes test fixtures and controls,"{""artifact"":""browser_files/dist/bundle.prod.html"",""checks"":{""test_api_absent"":true,""test_registration_absent"":true,""test_controls_absent"":true,""test_fixtures_absent"":true,""mock_transport_absent"":true,""contract_fixture_absent"":true,""integration_scenario_absent"":true,""visual_baseline_absent"":true,""p45_closure_absent"":true},""forbiddenMatches"":[]}"
MF-ARC-001,manifest,ARC-010,PASS,PASS_EXACT,0.20000000298023224,Shared architecture modules declare interfaces,"{""modules"":8}"
MF-ARC-002,manifest,ARC-010|TST-006,PASS,PASS_EXACT,0.20000000298023224,Architecture dependencies resolve,"{""dependencyErrors"":[]}"
MF-ARC-003,manifest,ARC-004,PASS,PASS_EXACT,0,One primary browser control is declared,"{""primaryBrowserControls"":1}"
MF-ARC-004,manifest,ARC-007|TST-004,PASS,PASS_EXACT,54.5,Production bundle rejects browser native and test assumptions,"{""forbiddenMatches"":[]}"
MF-ST-001,manifest,ARC-001|TST-001,PASS,PASS_EXACT,0.09999999403953552,Starter manifest declares canonical production entrypoint,"{""launcher"":""app/starter_main.sce"",""bundle"":""browser_files/dist/bundle.prod.html""}"
MF-ST-002,manifest,ARC-010|TST-006,PASS,PASS_EXACT,64.8999999910593,Starter required module paths exist,"{""declared"":9,""existing"":9,""missing"":[]}"
MF-ST-003,manifest,ARC-010|TST-006,PASS,PASS_EXACT,0.20000000298023224,Starter profile disables optional test and plotting layers,"{""build_mode"":""production"",""include_plotting"":false,""include_testing"":false,""jcef_debug"":false}"
MF-ST-004,manifest,TST-004|ARC-007,PASS,PASS_EXACT,57.900000005960464,Starter production bundle excludes optional and test source,"{""artifact"":""browser_files/dist/bundle.prod.html"",""checks"":{""test_api_absent"":true,""test_registration_absent"":true,""test_controls_absent"":true,""test_fixtures_absent"":true,""mock_transport_absent"":true,""contract_fixture_absent"":true,""integration_scenario_absent"":true,""visual_baseline_absent"":true,""p45_closure_absent"":true},""forbiddenMatches"":[]}"
